filename,synthetic_id,label
SYN-TEST-0001.jpg,SYN-TEST-0001,LIKELY_AUTHENTIC
SYN-TEST-0002.jpg,SYN-TEST-0002,LIKELY_AUTHENTIC
SYN-TEST-0003.jpg,SYN-TEST-0003,LIKELY_AUTHENTIC
SYN-TEST-0004.jpg,SYN-TEST-0004,LIKELY_AUTHENTIC
SYN-TEST-0005.jpg,SYN-TEST-0005,LIKELY_AUTHENTIC
SYN-TEST-0006.jpg,SYN-TEST-0006,REVIEW_REQUIRED
SYN-TEST-0007.jpg,SYN-TEST-0007,REVIEW_REQUIRED
SYN-TEST-0008.jpg,SYN-TEST-0008,REVIEW_REQUIRED
SYN-TEST-0009.jpg,SYN-TEST-0009,HIGH_SUSPICION
SYN-TEST-0010.jpg,SYN-TEST-0010,HIGH_SUSPICION
